Judul Lagu,Lirik
Era Syaqira – Kalih Welasku,anan mung tres kalih welasku anan mung nduweni doyo doyo ganduli doyo doyo nangisi sandungsandung aku maksan atimu gapuk meh tbang gaw gaw dew raiso ukur kurang sadaranku karepanku pancen dadi siji iso rat baturi tek besok anti petuk pati urung wujud we susu mutusi aku mbro ra piro malah dadi perkoro rapopo tulo tulo dadi tulis cerito tuo anan mung tres kalih welasku anan mung nduweni doyo doyo ganduli doyo doyo nangisi sandungsandung aku maksan atimu gapuk meh tbang gaw gaw dew raiso ukur kurang sadaranku karepanku pancen dadi siji iso rat baturi tek besok anti petuk pati urung wujud we susu mutusi aku mbro ra piro malah dadi perkoro rapopo tulo tulo dadi tulis cerito tuo anan mung tres kalih welasku anan mung nduweni doyo doyo ganduli doyo doyo nangisi sandungsandung aku maksan atimu gapuk meh tbang gaw gaw dew raiso ukur kurang sadaranku karepanku pancen dadi siji iso rat baturi tek besok anti petuk pati urung wujud we susu mutusi aku mbro ra piro malah dadi perkoro rapopo tulo tulo dadi tulis cerito tuo anan mung tres kalih welasku
Yeni Inka – Crito Mustahil,aku wis tau rasakn jerun dan rasakn bundas lar rasakn nangisi ra tar aku iyani omongmu sel jalani misal memang putusanmu lilak lilakn lang awakmu mung pengen andani dar aku du leramu iki mung pengen negesi ati ati kangen kabari ra maksan niat gandengmu ro aku cerito cerito mustahil aku karep ati mastekn kabeh nengmu ndgmu ra bakal ilang mbang impi ben wengi ra nyongko luput nduweni mugo lungoku legakn atimu mung pengen andani dar aku du leramu iki mung pengen negesi ati ati kangen kabari ra maksan niat gandengmu ro aku cerito cerito mustahil aku karep ati mastekn kabeh nengmu ndgmu ra bakal ilang mbang impi ben wengi ra nyongko luput nduweni mugo lungoku legakn atimu ra maksan niat gandengmu ro aku cerito cerito mustahil aku karep ati mastekn kabeh nengmu ndgmu ra bakal ilang mbang impi ben wengi ra nyongko luput nduweni mugo lungoku legakn atimu mugo lungoku legakn atimu
Arlida Putri – Wirang,sah jam sewelas bengi aku mbok tggal mbok tolak tanpo pasti larani aku kadung yang kadung gadang gadang ilangmu dadi traaku enemen kisah bujangku adem ang wengi teko ancani aku lang konco crito jan namung masalah tres tapi yo loro akhir wirang wirang pis akhir loro loro ten wong tulus wis garis ngene slalu ancani ilang endg tresnoku koyo bonsai antg putri mbok sirami rino wengi masio elok endah sawangi pekso ra iso gedhi bar ati bar adepi nandur mbang tukul wirang yongalah ten nandes ten we anggep aku wates koncomu jan namung masalah tres tapi yo loro akhir wirang wirang pis akhir loro loro ten wong tulus wis garis ngene slalu ancani ilang endg tresnoku koyo bonsai antg putri mbok sirami rino wengi masio elok endah sawangi pekso ra iso gedhi akhir wirang wirang pis akhir loro loro ten wong tulus wis garis ngene slalu ancani ilang endg tresnoku koyo bonsai antg putri mbok sirami rino wengi masio elok endah sawangi pekso ra iso gedhi jan namung masalah tres tapi yo loro
Dini Kurnia – Wujute Roso,tondon welas isun wujut roso mung riko mugo welas riko terimo myakn isun lego nyesek nong dodo bat sun roso perih perih neng mendal ati nisun dung nyawang riko roso emanngem norg dodo pgin sun rati nong njero ati kangen hang sun songgo tondon roso ojo mpek riko gaw isun ersulo wedi lang riko pancenn ono sun njaluk raten welas isun tondon welas isun wujut roso mung riko mugo welas riko terimo myakn isun lego nyesek nong dodo wujut roso wujut roso kangen hang sun songgo tondon roso ojo mpek riko gaw isun ersulo wedi lang riko pancenn ono sun njaluk raten welas isun tondon welas isun wujut roso mung riko mugo welas riko terimo myakn isun lego nyesek nong dodo tondon welas isun wujut roso mung riko mugo welas riko terimo myakn isun lego nyesek nong dodo wujut roso wujut roso wujut roso
Shepin Misa – Nemen,opo walesanmu neng aku kow luwih milih dek’ kow nggal aku nggal tatu kurang nekku mertahank malah eboti liyan kudun erti tresnoku nomer siji penak’ lehmu blenjani janji tego larani usahaku ra kurang kurang gematiku pol pol pas aku dol jebul temu neng dal konang gendak omongo jalokmu piy turutan usahakn aku ramasalah kon berjuang dew pentg bahagia endg opo walesanmu neng aku kow luwih milih dek’ kow nggal aku nggal tatu kurang nekku mertahank malah eboti liyan pikiren bahagiamu aku gampang omongo jalokmu piy turutan usahakn aku ramasalah kon berjuang dew pentg bahagia endg opo walesanmu neng aku kow luwih milih dek’ kow nggal aku nggal tatu kurang nekku mertahank malah eboti liyan opo walesanmu neng aku kow luwih milih dek’ kow nggal aku nggal tatu kurang nekku mertahank malah eboti liyan malah milih wong kae jebul aku mbok anggep pel
Via Vallen – Top Topan,cobo empet lara cobo njogo tres loro tok jalari rasak nady aku erti liyan cobo ono posisiku iso kuat atimu rasakk tok larani ben noku ra roso malah suloyo kulo pun angkat tang atipun ajurajur kulo milih pamit ati kulo pun roso kit apuran yang aku udu wong top top koyo idamanmu gampang nerobos atimu aku jan erti ghostg ati cobo goblok tetep menctai penuh hati kulo pun angkat tang atipun ajurajur kulo milih pamit ati kulo pun roso kit apuran yang aku udu wong top top koyo idamanmu gampang nerobos atimu aku jan erti ghostg ati cobo goblok tetep menctai penuh hati apuran yang aku udu wong top top koyo idamanmu gampang nerobos atimu aku jan erti ghostg ati cobo goblok tetep menctai penuh hati cobo goblok tetep menctai penuh hati
Lala Widy – Titeni Lan Enteni,piy caran elalekn nanganmu jan kow seng pilih kow akon aku alih cukup men terus neng nengmu tres ra bakal pekso atimu ono wong liyo udan wgi terang nangan durung ilang nyatan seng tresnani malah palg elarani titeni enteni kow bakal erti gemat koyok aku iseh rep larani bar bar atiku iseh panggah apusi ra masalah aku kalah dar diri lakon menang keri cukup men terus neng nengmu tres ra bakal pekso atimu ono wong liyo udan wgi terang nangan durung ilang gemat koyok aku iseh rep larani bar bar atiku iseh panggah apusi ra masalah aku kalah dar diri lakon menang keri gemat koyok aku iseh rep larani bar bar atiku iseh panggah apusi ra masalah aku kalah dar diri lakon menang keri
Vita Alvia – Ojo Dibandingke,wong ko ngene bandgbandingk gsaingk yo mesti kalah ku berharap engkau mengerti di hati ini hanya ada kamu jelas bedo bandgk ono pamerk aku raiso kon gaw gaw jujur onon sopo wong ra loro ati ancani tek men kabeh ono art rao ajine wong ko ngene bandgbandingk gsaingk yo mesti kalah oyako aku yo mampu mung kuatku menctaimu ku berharap engkau mengerti di hati ini hanya ada kamu sopo wong ra loro ati ancani tek men kabeh ono art rao ajine wong ko ngene bandgbandingk gsaingk yo mesti kalah oyako aku yo mampu mung kuatku menctaimu ku berharap engkau mengerti di hati ini hanya ada kamu wong ko ngene bandgbandingk gsaingk yo mesti kalah oyako aku yo mampu mung kuatku menctaimu ku berharap engkau mengerti di hati ini hanya ada kamu ku berharap engkau mengerti di hati ini hanya ada kamu
Happy Asmara – Nemu,nemu pas ati ambyar ambyar pacar tresnani nggal aku golek liyan tekamu dadi tombo obati ati loro mugo ikhlas nompo tek mbesuk anti tuo palg erti marang kahanan ati aku mok mangati usap iluhku mbrebes mili pepujan ati karyo mbang wangi bar bar momong aku mugo lawas dadi siji matursuwun gusti mpun margi gemati nemu sliran obati ati sepi matursuwun gusti mpun margi gemati yang pergi biarlah pergi ono ancani palg erti marang kahanan ati aku mok mangati usap iluhku mbrebes mili pepujan ati karyo mbang wangi bar bar momong aku mugo lawas dadi siji matursuwun gusti mpun margi gemati nemu sliran obati ati sepi matursuwun gusti mpun margi gemati yang pergi biarlah pergi ono ancani matursuwun gusti mpun margi gemati nemu sliran obati ati sepi matursuwun gusti mpun margi gemati yang pergi biarlah pergi ono ancani ono ancani
Esa Risty – Selendang Biru,kow njalok lebih mendg aku seng aleh uwes mati roso ndang omongo abot nyonggo katresnanmu kow njalok lebih mendg aku seng aleh uwes mati roso ndang omongo ojo mbok gandoli lendangmu lendang biru seng ono neng pundakmu luntur tanpo war mbekas neng klambiku lendang biru seng ono neng pundakmu ilang ra bakal mbalek mbalek neng tanganku ilang bareng roso tresnoku kow njalok lebih mendg aku seng aleh uwes mati roso ndang omongo abot nyonggo katresnanmu kow njalok lebih mendg aku seng aleh uwes mati roso ndang omongo ojo mbok gandoli lendangmu lendang biru seng ono neng pundakmu luntur tanpo war mbekas neng klambiku lendang biru seng ono neng pundakmu ilang ra bakal mbalek mbalek neng tanganku ilang bareng roso tresnoku lendang biru seng ono neng pundakmu luntur tanpo war mbekas neng klambiku lendang biru seng ono neng pundakmu ilang ra bakal mbalek mbalek neng tanganku ilang bareng roso tresnoku ilang bareng roso tresnoku
Difarina Indra – Dumes,sepine ro aku nengmu liyan arep cemburu dudu sopo sopon awal perhati neng akhir sliramu malah ilang ra pengen liyan pengenku siji mung nyataan dudu aku neng njero atimu iseh sok kelingan kabeh nang tau lakoni bayang bayang anti gowo impi iso gaw nyam ra jam nduweni atimu koyok wgi awakdew iso obrol tek wengi roso sliramu wong palg gemati nyongko palg larani ra pengen liyan pengenku siji mung kow nyataan dudu aku njero atimu iseh sok kelingan kabeh nang tau lakoni bayang bayang anti gowo impi iso gaw nyam ra jam nduweni atimu koyok wgi awakdew iso obrol tek wengi roso sliramu wong palg gemati nyongko palg larani
Putri Kristya – Lamunan,pdha mudra pasang tanpa wangen tresnaku mrg sliramu yang cahyang mbul sunar abyor tawang yekti sliramu dadi lamun sribid ang ratri tansah hang antheni tya nrajang telengg ati angen angen tlawung suwung wengi sepi tansah angranti tekamu duh yayi wong ayu age nyedhako ndhgku nyawang manisg esemmu gaw lerem rasaku tentrem atiku haywa pegat tresnamu yangku pdha mudra pasang tanpa wangen tresnaku mrg sliramu yang cahyang mbul sunar abyor tawang yekti sliramu dadi lamun wong ayu age nyedako ekep ragaku sirnakna lara branta atimu amerga kabidhung wewayangmu pikirku haywa pegat tresnamu duh yangku pdha mudra pasang tanpa wangen tresnaku mrg sliramu yang cahyang mbul sunar abyor tawang yekti sliramu dadi lamun pdha mudra pasang tanpa wangen tresnaku mrg sliramu yang cahyang mbul sunar abyor tawang yekti sliramu dadi lamun yekti sliramu dadi lamun
Dike Sabrina – Salam Tresno,tres ra bakal ilang kangen ngsoyo mbekas tembang rdu riko janji suci tekang pati lam tres jogo nady adoh panggonanmu spah tulus riko lam rdu mrg sliramu silir ang wengi tetes anambahi kangenku ngsoyo gedi titip rdu ngsoyo akeh amung biso dedungo angenku kow sliramu siji tresnoku yo mung siji simpen jogo tekang pati panyuwunku riko njogo tres nisun yang aku tulus tres sliramu tres ra bakal ilang kangen ngsoyo mbekas tembang rdu riko janji suci tekang pati lam tres jogo nady adoh panggonanmu spah tulus riko lam rdu mrg sliramu silir ang wengi tetes anambahi kangenku ngsoyo gedi titip rdu ngsoyo akeh amung biso dedungo angenku kow sliramu siji tresnoku yo mung siji simpen jogo tekang pati panyuwunku riko njogo tres nisun yang aku tulus tres sliramu tres ra bakal ilang kangen ngsoyo mbekas tembang rdu riko janji suci tekang pati lam tres jogo nady adoh panggonanmu spah tulus riko lam rdu mrg sliramu tres ra bakal ilang kangen ngsoyo mbekas tembang rdu riko janji suci tekang pati lam tres jogo nady adoh panggonanmu spah tulus riko lam rdu mrg sliramu
Berlinda Estrelitha – Sanes,udan soyo deres ra mandek mandek atiku melu teles pas udan teko lungo lungo milih wong luwih mulyo ra erti laran naliko pas aku lang ancani mongso pimu nuruti karepmu nyatan atimu dudu aku arepo geden roso tresnoku kjeron atiku sliramu udu karepk nes pgini durung mpet nduweni pun kon ikhlask nyatan ksgkat sgkat ceritan elalekn tetep gampang ra koyo gampang golek liyan ancani iso nduweni enteni malah enteni tres liyan dudu aku ternyata mbok karepk udan soyo deres ra mandek mandek atiku melu teles pas udan teko lungo lungo milih wong luwih mulyo nyatan ksgkat sgkat ceritan elalekn tetep gampang ra koyo gampang golek liyan ancani iso nduweni enteni malah enteni tres liyan dudu aku ternyata mbok karepk udan soyo deres ra mandek mandek atiku melu teles pas udan teko lungo lungo milih wong luwih mulyo pas udan teko lungo lungo milih wong luwih mulyo
Esa Risty – Kembang Wangi,mbang wangi ndar kupukupu yangi dadi paro nyowoku bakal jogo sirami ben dino mugo tetep iso mekar wangi dadi tondo tres jati maturnuwun gusti pun margi tres gemati yang raiso ganti masio akeh alang awak dew adepi iso rampungi mergo tulus ati bebas koyo langit kebaki ltang ltang madangi peteng atiku maturnuwun dadi mawar wangi titipan gusti jagani mbang wangi ndar kupukupu yangi dadi paro nyowoku bakal jogo sirami ben dino mugo tetep iso mekar wangi dadi tondo tres jati bebas koyo langit kebaki ltang ltang madangi peteng atiku maturnuwun dadi mawar wangi titipan gusti jagani mbang wangi ndar kupukupu yangi dadi paro nyowoku bakal jogo sirami ben dino mugo tetep iso mekar wangi dadi tondo tres jati mbang wangi ndar kupukupu yangi dadi paro nyowoku bakal jogo sirami ben dino mugo tetep iso mekar wangi dadi tondo tres jati dadi tondo tres jati
Vita Alvia – Talining Asmoro,tetes iluhku anti koyo tirto goro nalikan kow lungo nggalk aku nelongso ku nelongso ati soyo rontoronto uwes cidro dadi spah tiamu lahku anti kow nggalk aku tanpo alas dadi karepmu tegang ati medotk taling asmoro pancen ono wanito liyo loro ati atiku loro tansah soyo rontoronto roso tetep jrong dodo kow uwes bedo tetes iluhku anti koyo tirto goro nalikan kow lungo nggalk aku nelongso ku nelongso ati soyo rontoronto uwes cidro dadi spah tiamu lahku anti kow nggalk aku tanpo alas dadi karepmu tegang ati medotk taling asmoro pancen ono wanito liyo loro ati atiku loro tansah soyo rontoronto roso tetep jrong dodo kow uwes bedo tetes iluhku anti koyo tirto goro nalikan kow lungo nggalk aku nelongso ku nelongso ati soyo rontoronto uwes cidro dadi spah tiamu tetes iluhku anti koyo tirto goro nalikan kow lungo nggalk aku nelongso ku nelongso ati soyo rontoronto uwes cidro dadi spah tiamu
Yeni Inka – Pingal,piy sek jelask wongtuwo elakoni tek men nek akhir bakal bubar pisah kow gudo tres wong liyo elali kow tau omong dew elakoni tres tek tuwo eliyo mung aku atimu iki atimu ono wong liyo ibarat esuk mendung awan aku kudan sor mbok larani bengi tangisi mung iso bayangk kabeh nang kow boncengk turut dal kep kudan iki nyatan kow malah milih kekep wong liyo kow ra kroso abot atiku kudu lang wong palg tresnani ra jenak dol ra doy mang nek ra mbok dulang ibarat esuk mendung awan aku kudan sor mbok larani bengi tangisi mung iso bayangk kabeh nang kow boncengk turut dal kep kudan iki nyatan kow malah milih kekep wong liyo kow ra kroso abot atiku kudu lang wong palg tresnani ra jenak dol ra doy mang nek ra mbok dulang ra jenak dol ra doy mang nek ra mbok dulang
Guyon Waton – Wirang,sah jam sewelas bengi aku mbok tggal mbok tolak tanpo pasti larani aku kadung yang kadung gadang gadang ilangmu dadi traaku enemen kisah bujangku adem ang wengi teko ancani aku lang konco crito jan namung masalah tres tapi yo loro akhir wirang wirang pis akhir loro loro ten wong tulus wis garis ngene slalu ancani ilang endg tresnoku koyo bonsai antg putri mbok sirami rino wengi masio elok endah sawangi pekso ra iso gedhi bar ati bar adepi nandur mbang tukul wirang yongalah ten nandes ten we anggep aku wates koncomu namung masalah tres tapi yo loro akhir wirang wirang pis akhir loro loro ten wong tulus wis garis ngene slalu ancani ilang endg tresnoku koyo bonsai antg putri mbok sirami rino wengi masio elok endah sawangi pekso ra iso gedhi jan namung masalah tres tapi yo loro
Niken Salindry – Lungamu Ninggal Kenangan 2,langit peteng katon mendung kow gaw aku bgung arep njalok tulung bgung anggonku nembung aku ikhlas berjuang kow bilang dada yang aku iro lungamu nggal nang demi ayangku tulisn tembang rdu lewat sepi wengi titipn roso kangenku roso netes iluh banyu moto amergo kow tego nggal aku demi wong liyo aku ikhlas aku lilo naj ati loro aku ikhlas aku lilo mugo kow biso bahagio langit peteng katon mendung kow gaw aku bgung arep njalok tulung bgung anggonku nembung aku ikhlas berjuang kow bilang dada yang aku iro lungamu nggal nang demi ayangku titipk tembang rdu lewat sepi wengi titipn roso kangenku roso netes iluh banyu moto amergo kow tego nggal aku demi wong liyo aku ikhlas aku lilo naj ati loro aku ikhlas aku lilo mugo kow biso bahagio langit peteng katon mendung kow gaw aku bgung arep njalok tulung bgung anggonku nembung aku ikhlas berjuang kow bilang dada yang aku iro lungamu nggal nang langit peteng katon mendung kow gaw aku bgung arep njalok tulung bgung anggonku nembung aku ikhlas berjuang kow bilang dada yang aku iro lungamu nggal nang aku iro lungamu nggal nang
Yeni Inka – Klebus,dalan ram atiku sepi angen angen tres bales tres nyatan tres bales maturnuwun uwis nyam mpet yang malah ilang meh lungo angel bertah loro nyobo lalu ono meski rao roso roso jebul rasakn dew bacut yang ek’i harap milih liyan langit peteng udan soyo deres klebus tek atiku cedak aku atimu nggo wong liyo wis dalan dadi pelari nggo sliramu butuh hibur aku yang aku berjuang bagianmu koyo biasan bagi larani aku wae langit peteng udan soyo deres klebus tek atiku cedak aku atimu nggo wong liyo wis dalan dadi pelari nggo sliramu butuh hibur aku yang aku berjuang bagianmu koyo biasan bagi larani wis dalan dadi pelari nggo sliramu butuh hibur aku yang aku berjuang bagianmu koyo biasan bagi larani aku wae bagianmu koyo biasan bagi larani aku wae bagianmu koyo biasan bagi larani aku wae
Niken Salindry – Lungamu Ninggal Kenangan 2,langit peteng katon mendung kow gaw aku bgung arep njalok tulung bgung anggonku nembung aku ikhlas berjuang kow bilang dada yang aku iro lungamu nggal nang demi ayangku tulisn tembang rdu lewat sepi wengi titipn roso kangenku roso netes iluh banyu moto amergo kow tego nggal aku demi wong liyo aku ikhlas aku lilo naj ati loro aku ikhlas aku lilo mugo kow biso bahagio langit peteng katon mendung kow gaw aku bgung arep njalok tulung bgung anggonku nembung aku ikhlas berjuang kow bilang dada yang aku iro lungamu nggal nang demi ayangku titipk tembang rdu lewat sepi wengi titipn roso kangenku roso netes iluh banyu moto amergo kow tego nggal aku demi wong liyo aku ikhlas aku lilo naj ati loro aku ikhlas aku lilo mugo kow biso bahagio langit peteng katon mendung kow gaw aku bgung arep njalok tulung bgung anggonku nembung aku ikhlas berjuang kow bilang dada yang aku iro lungamu nggal nang langit peteng katon mendung kow gaw aku bgung arep njalok tulung bgung anggonku nembung aku ikhlas berjuang kow bilang dada yang aku iro lungamu nggal nang aku iro lungamu nggal nang
